Route_Number,Reason,Schools_Serviced,Occurred_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Breakdown_or_Running_Late
M588,Heavy Traffic,"213,102,442",07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,4,Running Late
M657,Problem Run,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,-1,6,Running Late
M856,Other,2622,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,25 MIN,1,Running Late
M658,Heavy Traffic,2911,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,15 MIN,6,Running Late
M300,Heavy Traffic,2032,07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,20 MIN,6,Running Late
M662,Heavy Traffic,2622,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,1,Running Late
M696,Problem Run,2035,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,14,Running Late
K690,Heavy Traffic,15460,07 O'Clock,Brooklyn,PRIDE TRANSPORTATION ,15 MIN,4,Running Late
X215,Other,8410,07 O'Clock,Bronx,"BORO TRANSIT, INC.",35-40 MIN,7,Running Late
M868,Heavy Traffic,"41,120,411,204,839",07 O'Clock,Manhattan,PRIDE TRANSPORTATION ,10 MIN,2,Running Late
M990,Heavy Traffic,2622,07 O'Clock,Manhattan,HOYT TRANSPORTATION CORP.,30 MIN,6,Running Late
Q911,Heavy Traffic,26443,07 O'Clock,Queens,HOYT TRANSPORTATION CORP.,30 MIN,3,Running Late
